Galaxy identifier,Assumed distance (Mpc),Galactocentric radius (kpc),Galactocentric radius (m),Observed circular velocity (km/s),Observed circular velocity (m/s),Uncertainy in v obs (km/s),Gas velocity contribution (km/s),Gas velocity contribution (m/s),Disk velocity contribution (km/s),Disk velocity contribution (m/s),Bulge velocity contribution (km/s),Bulge velocity contribution (m/s),Disk surface brightness (solLum/pc2),Bulge surface brightness (solLum/pc2)
NGC3741,3.21,5.14,1.5862E+20,48.5,48500,2.27,13.86,13860,4.84,4840,0,0,0,0
NGC3741,3.21,5.61,1.73125E+20,50,50000,2.32,13.86,13860,4.63,4630,0,0,0,0
NGC3741,3.21,6.07,1.8732E+20,50.2,50200,2.4,13.76,13760,4.45,4450,0,0,0,0
NGC3741,3.21,6.54,2.01824E+20,50.1,50100,2.57,13.55,13550,4.29,4290,0,0,0,0
NGC3741,3.21,7,2.1602E+20,51.6,51600,3.24,13.34,13340,4.14,4140,0,0,0,0
NGC3769,18,1.74,5.36964E+19,87.5,87500,9.4,11.85,11850,126.23,126230,0,0,363.15,0
NGC3769,18,3.5,1.0801E+20,106,106000,7.1,22.09,22090,136.2,136200,0,0,106.15,0
NGC3769,18,5.24,1.61706E+20,116,116000,5.3,28.99,28990,123.81,123810,0,0,34.23,0
NGC3769,18,6.98,2.15403E+20,125,125000,5.7,34.81,34810,109.91,109910,0,0,11.25,0
NGC3769,18,8.72,2.69099E+20,126,126000,4.4,36.96,36960,98.62,98620,0,0,3.98,0
NGC3769,18,10.47,3.23104E+20,123,123000,4.4,36.75,36750,89.83,89830,0,0,2.58,0
NGC3769,18,12.31,3.79887E+20,118,118000,4.6,34.7,34700,83.14,83140,0,0,1.42,0
NGC3769,18,14.52,4.48087E+20,115,115000,6.4,34.16,34160,76.18,76180,0,0,0.61,0
NGC3769,18,17.07,5.2678E+20,122,122000,15.2,34.92,34920,70.2,70200,0,0,0.41,0
NGC3769,18,31.82,9.81965E+20,121,121000,10.2,33.73,33730,50.64,50640,0,0,0,0
NGC3769,18,34.61,1.06806E+21,118,118000,10.4,32.54,32540,48.51,48510,0,0,0,0
NGC3769,18,37.16,1.14676E+21,113,113000,10.5,31.57,31570,46.75,46750,0,0,0,0
NGC3877,18,0.87,2.68482E+19,37.8,37800,9,0,0,101.87,101870,0,0,753.73,0
NGC3877,18,1.74,5.36964E+19,80.1,80100,9,0,0,114.98,114980,0,0,473.06,0
NGC3877,18,2.61,8.05446E+19,121,121000,8.5,0,0,122,122000,0,0,368.22,0
NGC3877,18,3.5,1.0801E+20,142,142000,7.3,8.66,8660,132.74,132740,0,0,317.36,0
NGC3877,18,4.37,1.34858E+20,153,153000,6.2,14.44,14440,143.94,143940,0,0,289.49,0
NGC3877,18,5.24,1.61706E+20,160,160000,5.3,18.43,18430,159.88,159880,0,0,271.83,0
NGC3877,18,6.11,1.88555E+20,162,162000,5.3,22.09,22090,181.37,181370,0,0,236.6,0
NGC3877,18,6.98,2.15403E+20,167,167000,4.5,25.11,25110,193.57,193570,0,0,173.2,0
NGC3877,18,7.85,2.42251E+20,169,169000,5.3,26.73,26730,197.84,197840,0,0,132.05,0
NGC3877,18,8.72,2.69099E+20,171,171000,4.9,28.23,28230,200.86,200860,0,0,101.24,0
NGC3877,18,9.6,2.96256E+20,171,171000,4.9,29.63,29630,201.7,201700,0,0,66.99,0
NGC3877,18,10.47,3.23104E+20,170,170000,5.7,30.28,30280,195.05,195050,0,0,43.34,0
NGC3877,18,11.35,3.50261E+20,169,169000,7,30.28,30280,189.75,189750,0,0,31.05,0
NGC3893,18,1.74,5.36964E+19,145,145000,6.8,17.89,17890,202.16,202160,0,0,1038.77,0
NGC3893,18,3.5,1.0801E+20,174,174000,6.8,17.67,17670,210.45,210450,0,0,328.04,0
NGC3893,18,5.24,1.61706E+20,194,194000,6.4,27.48,27480,211.51,211510,0,0,137,0
NGC3893,18,6.98,2.15403E+20,190,190000,5.5,42.57,42570,187.95,187950,0,0,48.78,0
NGC3893,18,8.81,2.71877E+20,186,186000,5.8,48.28,48280,172.49,172490,0,0,34.3,0
NGC3893,18,10.9,3.36374E+20,188,188000,7,45.48,45480,161.01,161010,0,0,15.26,0
NGC3893,18,13.12,4.04883E+20,187,187000,8.5,43.32,43320,148.11,148110,0,0,5.31,0
NGC3893,18,15.33,4.73084E+20,179,179000,12.6,43.11,43110,134.96,134960,0,0,1.91,0
NGC3893,18,17.3,5.33878E+20,176,176000,11.7,43.21,43210,126.37,126370,0,0,0.93,0
NGC3893,18,19.05,5.87883E+20,167,167000,13.5,44.51,44510,119.3,119300,0,0,0,0
NGC3917,18,0.87,2.68482E+19,24.3,24300,3.9,0,0,35.64,35640,0,0,188.65,0
NGC3917,18,1.74,5.36964E+19,49.6,49600,3.9,0,0,47.54,47540,0,0,151.56,0
NGC3917,18,2.61,8.05446E+19,73.6,73600,5.2,0,0,60.47,60470,0,0,133.11,0
NGC3917,18,3.5,1.0801E+20,101,101000,4.4,7.38,7380,73.72,73720,0,0,113.1,0
NGC3917,18,4.37,1.34858E+20,107,107000,3.5,13.36,13360,85.03,85030,0,0,102.47,0
NGC3917,18,5.24,1.61706E+20,115,115000,3.5,14.01,14010,96.27,96270,0,0,83.86,0
NGC3917,18,6.11,1.88555E+20,123,123000,3.9,12.18,12180,104.34,104340,0,0,66.19,0
NGC3917,18,6.98,2.15403E+20,130,130000,3.9,18.32,18320,107.5,107500,0,0,47.17,0
NGC3917,18,7.85,2.42251E+20,134,134000,3.5,21.34,21340,109.28,109280,0,0,36.52,0
NGC3917,18,8.72,2.69099E+20,136,136000,3.9,21.77,21770,108.62,108620,0,0,26.62,0
NGC3917,18,9.6,2.96256E+20,137,137000,4,27.37,27370,107.75,107750,0,0,19.83,0
NGC3917,18,10.47,3.23104E+20,136,136000,3.5,29.53,29530,106.05,106050,0,0,13.97,0
NGC3917,18,11.35,3.50261E+20,137,137000,3.5,32.11,32110,103.37,103370,0,0,9.49,0
NGC3917,18,12.19,3.76183E+20,137,137000,3.5,32.87,32870,100.58,100580,0,0,6.45,0
NGC3917,18,13.12,4.04883E+20,137,137000,5,30.82,30820,96.92,96920,0,0,3.54,0
NGC3917,18,13.94,4.30188E+20,138,138000,5,32.01,32010,93.04,93040,0,0,1.82,0
NGC3917,18,14.86,4.5858E+20,137,137000,7.5,31.79,31790,88.38,88380,0,0,0.79,0
NGC3949,18,1.74,5.36964E+19,123,123000,5.5,5.18,5180,160.38,160380,0,0,751.83,0
NGC3949,18,2.61,8.05446E+19,145,145000,5.5,14.22,14220,184.96,184960,0,0,538.79,0
NGC3949,18,3.5,1.0801E+20,152,152000,6.2,24.46,24460,199.67,199670,0,0,237.3,0
NGC3949,18,4.37,1.34858E+20,157,157000,6.6,32.44,32440,188.3,188300,0,0,108.7,0
NGC3949,18,5.24,1.61706E+20,161,161000,8.8,37.39,37390,178.75,178750,0,0,59.44,0
NGC3949,18,6.11,1.88555E+20,165,165000,11.2,41.38,41380,166.45,166450,0,0,30.08,0
NGC3949,18,7.07,2.1818E+20,169,169000,25.5,46.55,46550,155.24,155240,0,0,18.9,0
NGC3953,18,3.5,1.0801E+20,181,181000,7.5,0,0,204.12,204120,0,0,498.34,0
NGC3953,18,5.24,1.61706E+20,203,203000,6.5,0,0,218.93,218930,0,0,347.36,0
NGC3953,18,6.98,2.15403E+20,216,216000,5.6,0,0,229.11,229110,0,0,268.13,0
NGC3953,18,8.72,2.69099E+20,223,223000,6.1,9.06,9060,244.28,244280,0,0,182.72,0
NGC3953,18,10.47,3.23104E+20,224,224000,5.6,19.18,19180,247.46,247460,0,0,118.64,0
NGC3953,18,12.19,3.76183E+20,223,223000,6.1,28.88,28880,242.84,242840,0,0,62.87,0
NGC3953,18,13.94,4.30188E+20,224,224000,6.1,35.56,35560,233.58,233580,0,0,35.3,0
NGC3953,18,15.68,4.83885E+20,215,215000,9.7,37.5,37500,218.76,218760,0,0,14.86,0
NGC3972,18,0.87,2.68482E+19,39.6,39600,4.9,0,0,48.19,48190,0,0,254.81,0
NGC3972,18,1.74,5.36964E+19,73,73000,5.2,5.93,5930,61.19,61190,0,0,156.18,0
NGC3972,18,2.61,8.05446E+19,89.4,89400,6.6,7.31,7310,74.23,74230,0,0,134.66,0
NGC3972,18,3.5,1.0801E+20,102,102000,5.3,13.47,13470,83.56,83560,0,0,89.27,0
NGC3972,18,4.37,1.34858E+20,110,110000,4.4,16.7,16700,88.18,88180,0,0,79.83,0
NGC3972,18,5.24,1.61706E+20,116,116000,4.4,20.91,20910,99.34,99340,0,0,68.87,0
NGC3972,18,6.11,1.88555E+20,123,123000,4.4,24.68,24680,106.44,106440,0,0,37.78,0
NGC3972,18,6.98,2.15403E+20,130,130000,3.9,28.34,28340,102.6,102600,0,0,19.69,0
NGC3972,18,7.85,2.42251E+20,134,134000,6.1,30.6,30600,97.1,97100,0,0,11.87,0
NGC3972,18,8.72,2.69099E+20,134,134000,4.9,30.07,30070,92.41,92410,0,0,8.09,0
NGC3992,23.7,9.19,2.83603E+20,248,248000,7,0,0,218.11,218110,0,0,212.17,0
NGC3992,23.7,13.79,4.25559E+20,264,264000,6.6,6.57,6570,246.64,246640,0,0,123.44,0
NGC3992,23.7,18.35,5.66281E+20,272,272000,5.7,31.53,31530,243.17,243170,0,0,50.16,0
NGC3992,23.7,22.94,7.07928E+20,271,271000,5.7,46.25,46250,231.91,231910,0,0,20.58,0
NGC3992,23.7,27.52,8.49267E+20,264,264000,5.3,52.31,52310,206.95,206950,0,0,5.11,0
NGC3992,23.7,32.11,9.90915E+20,242,242000,7.4,49.34,49340,187.25,187250,0,0,2.48,0
NGC3992,23.7,36.7,1.13256E+21,244,244000,5.3,46.74,46740,173.25,173250,0,0,1.13,0
NGC3992,23.7,41.44,1.27884E+21,241,241000,6.2,45.26,45260,161.14,161140,0,0,0.43,0
NGC3992,23.7,46.02,1.42018E+21,237,237000,8.6,44.89,44890,151.17,151170,0,0,0,0
NGC4010,18,0.87,2.68482E+19,39.3,39300,6.6,0,0,32.75,32750,0,0,255.76,0
NGC4010,18,1.74,5.36964E+19,54.6,54600,5.6,11.53,11530,62.91,62910,0,0,223.85,0
NGC4010,18,2.61,8.05446E+19,65.5,65500,6.7,13.36,13360,83.12,83120,0,0,159.05,0
NGC4010,18,3.5,1.0801E+20,83.9,83900,5.2,15.73,15730,93.77,93770,0,0,100.83,0
NGC4010,18,4.37,1.34858E+20,94.3,94300,6.3,19.72,19720,97.55,97550,0,0,71.56,0
NGC4010,18,5.24,1.61706E+20,104,104000,5.7,22.31,22310,98.14,98140,0,0,51.09,0
NGC4010,18,6.11,1.88555E+20,115,115000,5.1,25.86,25860,98.57,98570,0,0,39.41,0
NGC4010,18,6.98,2.15403E+20,127,127000,5.1,29.63,29630,99.07,99070,0,0,31,0
NGC4010,18,7.85,2.42251E+20,129,129000,5.1,33.19,33190,99.28,99280,0,0,20.82,0
NGC4010,18,8.72,2.69099E+20,127,127000,5.1,36.53,36530,96.65,96650,0,0,13.73,0
NGC4010,18,9.6,2.96256E+20,124,124000,5.1,35.56,35560,93.39,93390,0,0,9.74,0
NGC4010,18,10.47,3.23104E+20,122,122000,3.9,33.73,33730,90.22,90220,0,0,6.87,0
NGC4013,18,5.49,1.69421E+20,198,198000,10,0,0,186.83,186830,108.11,108110,258.72,6.53
NGC4013,18,6.17,1.90406E+20,195,195000,5,10.14,10140,197.4,197400,102.7,102700,211.17,3.26
NGC4013,18,6.92,2.13551E+20,194,194000,4,19.07,19070,203.18,203180,97.43,97430,152.63,1.51
NGC4013,18,7.69,2.37313E+20,195,195000,3,24.03,24030,205.95,205950,92.74,92740,114.26,0.69
NGC4013,18,8.36,2.5799E+20,195,195000,3,26.62,26620,205.73,205730,88.92,88920,79.51,0.35
NGC4013,18,9.12,2.81443E+20,195,195000,3,28.67,28670,202.75,202750,85.21,85210,49.71,0.16
NGC4013,18,9.88,3.04897E+20,192,192000,7,29.74,29740,195.44,195440,81.9,81900,20.91,0.07
NGC4013,18,10.56,3.25882E+20,188,188000,8,29.63,29630,185.44,185440,79.23,79230,9.67,0.04
NGC4013,18,11.31,3.49027E+20,186,186000,7,29.42,29420,175.66,175660,76.58,76580,4.66,0.02
NGC4013,18,12.08,3.72789E+20,186,186000,6,29.85,29850,166.96,166960,74.1,74100,2.88,0.01
NGC4013,18,12.77,3.94082E+20,186,186000,5,30.5,30500,160.29,160290,72.07,72070,1.8,0
NGC4013,18,13.47,4.15684E+20,185,185000,6,31.57,31570,154.56,154560,70.18,70180,1.31,0
NGC4013,18,14.17,4.37286E+20,180,180000,10,32.44,32440,149.44,149440,68.41,68410,0.82,0
NGC4013,18,14.98,4.62283E+20,163,163000,8,32.98,32980,144.15,144150,66.54,66540,0.43,0
NGC4013,18,15.68,4.83885E+20,162,162000,6,32.44,32440,140.03,140030,65.04,65040,0.22,0
NGC4013,18,16.37,5.05178E+20,164,164000,5,31.79,31790,136.17,136170,63.66,63660,0,0
NGC4013,18,17.19,5.30483E+20,166,166000,5,30.82,30820,132.07,132070,62.12,62120,0,0
NGC4013,18,17.88,5.51777E+20,166,166000,5,29.63,29630,128.95,128950,60.91,60910,0,0
NGC4013,18,18.58,5.73379E+20,166,166000,5,28.56,28560,126.05,126050,59.75,59750,0,0
NGC4013,18,19.39,5.98375E+20,166,166000,5,27.91,27910,122.95,122950,58.49,58490,0,0
NGC4013,18,20.09,6.19977E+20,168,168000,5,27.26,27260,120.47,120470,57.46,57460,0,0
NGC4013,18,20.79,6.41579E+20,172,172000,5,26.4,26400,118.15,118150,56.49,56490,0,0
NGC4013,18,21.48,6.62873E+20,173,173000,5,25.97,25970,116,116000,55.57,55570,0,0
NGC4013,18,22.3,6.88178E+20,171,171000,5,26.08,26080,113.61,113610,54.54,54540,0,0
NGC4013,18,22.99,7.09471E+20,170,170000,5,26.4,26400,111.72,111720,53.72,53720,0,0
NGC4013,18,23.69,7.31073E+20,172,172000,5,27.16,27160,109.89,109890,52.92,52920,0,0
NGC4013,18,24.39,7.52675E+20,173,173000,5,28.88,28880,108.16,108160,52.15,52150,0,0
NGC4013,18,25.2,7.77672E+20,176,176000,5,30.17,30170,106.26,106260,51.31,51310,0,0
NGC4013,18,25.9,7.99274E+20,178,178000,5,29.96,29960,104.71,104710,50.61,50610,0,0
NGC4013,18,26.59,8.20567E+20,180,180000,6,29.63,29630,103.24,103240,49.95,49950,0,0
NGC4013,18,27.41,8.45873E+20,180,180000,8,29.1,29100,101.58,101580,49.19,49190,0,0
NGC4013,18,28.1,8.67166E+20,180,180000,5,28.45,28450,100.24,100240,48.59,48590,0,0
NGC4013,18,28.8,8.88768E+20,180,180000,5,28.02,28020,98.94,98940,47.99,47990,0,0
NGC4013,18,29.61,9.13765E+20,178,178000,5,27.59,27590,97.5,97500,47.33,47330,0,0
NGC4013,18,30.31,9.35367E+20,174,174000,5,27.59,27590,96.31,96310,46.78,46780,0,0
NGC4013,18,31.01,9.56969E+20,170,170000,10,26.19,26190,95.16,95160,46.25,46250,0,0
NGC4051,18,1.74,5.36964E+19,121,121000,14.8,0,0,169,169000,0,0,395.16,0
NGC4051,18,3.5,1.0801E+20,116,116000,7.8,0,0,138.74,138740,0,0,255.5,0
NGC4051,18,5.24,1.61706E+20,140,140000,7,9.08,9080,151.11,151110,0,0,263.4,0
NGC4051,18,6.98,2.15403E+20,160,160000,6.6,18.43,18430,181.17,181170,0,0,178.76,0
NGC4051,18,8.72,2.69099E+20,161,161000,5.2,29.1,29100,195.63,195630,0,0,87.69,0
NGC4051,18,10.47,3.23104E+20,154,154000,7.4,34.92,34920,181.53,181530,0,0,46.6,0
NGC4051,18,12.19,3.76183E+20,153,153000,9.8,38.79,38790,169.17,169170,0,0,35.22,0
NGC4068,4.37,0.21,6.4806E+18,4.68,4680,3.65,0.92,920,6.84,6840,0,0,43.41,0
NGC4068,4.37,0.64,1.97504E+19,13.1,13100,3.44,4.01,4010,16.7,16700,0,0,35.39,0
NGC4068,4.37,1.06,3.27116E+19,22.5,22500,2.45,7.7,7700,21.47,21470,0,0,19.75,0
NGC4068,4.37,1.48,4.56728E+19,30.4,30400,1.71,12.5,12500,23.36,23360,0,0,11.73,0
NGC4068,4.37,1.91,5.89426E+19,36,36000,1.7,17.24,17240,23.95,23950,0,0,5.17,0
NGC4068,4.37,2.33,7.19038E+19,41.9,41900,4.97,19.86,19860,22.61,22610,0,0,2.22,0
NGC4085,18,0.87,2.68482E+19,42.2,42200,7.3,0,0,94.8,94800,0,0,888.2,0
NGC4085,18,1.74,5.36964E+19,79.9,79900,5.9,11.42,11420,129.33,129330,0,0,459.63,0
NGC4085,18,2.71,8.36306E+19,112,112000,6.2,11.32,11320,142.76,142760,0,0,257.04,0
NGC4085,18,3.58,1.10479E+20,127,127000,4.9,18.54,18540,148.78,148780,0,0,177.75,0
NGC4085,18,4.45,1.37327E+20,130,130000,4.9,23.17,23170,155.31,155310,0,0,98.21,0
NGC4085,18,5.32,1.64175E+20,133,133000,4.5,25.76,25760,149.59,149590,0,0,42.75,0
NGC4085,18,6.2,1.91332E+20,136,136000,7.4,25,25000,139.16,139160,0,0,13.28,0
NGC4088,18,1.74,5.36964E+19,84.9,84900,11.3,0,0,137.12,137120,0,0,790.04,0
NGC4088,18,3.5,1.0801E+20,136,136000,9.9,0,0,180.27,180270,0,0,652.93,0
NGC4088,18,5.24,1.61706E+20,162,162000,8,16.92,16920,240.94,240940,0,0,469.12,0
NGC4088,18,6.98,2.15403E+20,179,179000,6.5,31.57,31570,264.14,264140,0,0,205.9,0
NGC4088,18,8.72,2.69099E+20,182,182000,6.1,42.24,42240,243.55,243550,0,0,95.39,0
NGC4088,18,10.47,3.23104E+20,179,179000,7,48.71,48710,230.28,230280,0,0,52.19,0
NGC4088,18,12.19,3.76183E+20,174,174000,6.2,53.67,53670,219.07,219070,0,0,21.94,0
NGC4088,18,13.94,4.30188E+20,171,171000,7.2,54.74,54740,199.15,199150,0,0,5.09,0
NGC4088,18,15.68,4.83885E+20,168,168000,6.1,54.64,54640,184.18,184180,0,0,3.51,0
NGC4088,18,17.42,5.37581E+20,165,165000,5.6,53.77,53770,172.93,172930,0,0,1.72,0
NGC4088,18,19.28,5.94981E+20,171,171000,8.6,52.37,52370,162.7,162700,0,0,0.85,0
NGC4088,18,21.48,6.62873E+20,174,174000,7.6,50.22,50220,152.44,152440,0,0,0,0
NGC4100,18,2.61,8.05446E+19,120,120000,10.5,5.71,5710,126.18,126180,0,0,351.27,0
NGC4100,18,3.5,1.0801E+20,148,148000,7.5,9.28,9280,135.14,135140,0,0,336.69,0
NGC4100,18,4.37,1.34858E+20,168,168000,6.2,13.15,13150,152.52,152520,0,0,312.74,0
NGC4100,18,5.24,1.61706E+20,182,182000,6.1,16.38,16380,177.98,177980,0,0,278.01,0
NGC4100,18,6.11,1.88555E+20,190,190000,5.2,19.18,19180,196.88,196880,0,0,213.01,0
NGC4100,18,6.98,2.15403E+20,194,194000,5.7,21.66,21660,207.03,207030,0,0,123.77,0
NGC4100,18,7.85,2.42251E+20,195,195000,6.1,23.38,23380,198.89,198890,0,0,64.81,0
NGC4100,18,8.72,2.69099E+20,193,193000,4.8,24.46,24460,191.25,191250,0,0,40.14,0
NGC4100,18,9.6,2.96256E+20,192,192000,3.9,25,25000,180.26,180260,0,0,21.59,0
NGC4100,18,10.47,3.23104E+20,192,192000,3.5,25.65,25650,169.65,169650,0,0,15.04,0
NGC4100,18,11.35,3.50261E+20,191,191000,4.4,26.73,26730,162.03,162030,0,0,13.24,0
NGC4100,18,12.19,3.76183E+20,189,189000,4.8,28.34,28340,157.28,157280,0,0,11.29,0
NGC4100,18,13.12,4.04883E+20,185,185000,5.3,30.6,30600,152.13,152130,0,0,6.56,0
NGC4100,18,13.94,4.30188E+20,182,182000,4.5,32.54,32540,146.63,146630,0,0,4.29,0
NGC4100,18,14.86,4.5858E+20,179,179000,6.6,34.38,34380,141.01,141010,0,0,2.82,0
NGC4100,18,15.68,4.83885E+20,176,176000,6.2,36.42,36420,136.34,136340,0,0,2.06,0
NGC4100,18,16.61,5.12585E+20,174,174000,6.6,38.36,38360,131.69,131690,0,0,1.52,0
NGC4100,18,17.42,5.37581E+20,178,178000,8.7,38.9,38900,128.17,128170,0,0,1.33,0
NGC4100,18,18.35,5.66281E+20,177,177000,6.2,37.93,37930,124.63,124630,0,0,0.81,0
NGC4100,18,19.16,5.91278E+20,169,169000,5.9,36.96,36960,121.38,121380,0,0,0.36,0
NGC4100,18,20.09,6.19977E+20,158,158000,6.3,36.1,36100,117.8,117800,0,0,0.2,0
NGC4100,18,21.02,6.48677E+20,158,158000,7.6,34.92,34920,114.69,114690,0,0,0.16,0
NGC4100,18,21.95,6.77377E+20,158,158000,8.9,33.73,33730,111.9,111900,0,0,0.11,0
NGC4100,18,22.76,7.02374E+20,159,159000,9,32.65,32650,109.45,109450,0,0,0,0
NGC4138,18,2.61,8.05446E+19,179,179000,14.7,8.52,8520,197.55,197550,118.24,118240,455.38,0
NGC4138,18,5.24,1.61706E+20,195,195000,6.8,19.72,19720,177.52,177520,83.47,83470,58.82,0
NGC4138,18,7.85,2.42251E+20,181,181000,9.8,23.38,23380,148.4,148400,68.2,68200,14.08,0
NGC4138,18,10.65,3.28659E+20,162,162000,20.4,20.04,20040,126.45,126450,58.55,58550,2.75,0
NGC4138,18,13.47,4.15684E+20,145,145000,9.6,20.8,20800,110.59,110590,52.06,52060,0.23,0
NGC4138,18,16.03,4.94686E+20,147,147000,17.9,22.85,22850,100.09,100090,47.73,47730,0.06,0
NGC4138,18,18.58,5.73379E+20,150,150000,21,23.38,23380,92.33,92330,44.33,44330,0,0
NGC4157,18,1.74,5.36964E+19,96.4,96400,12.1,5.73,5730,129.95,129950,70.64,70640,1123.87,0.01
NGC4157,18,3.5,1.0801E+20,157,157000,10.5,16.49,16490,217.21,217210,49.8,49800,658.27,0
NGC4157,18,5.24,1.61706E+20,192,192000,8.4,21.44,21440,237.63,237630,40.7,40700,352.95,0
NGC4157,18,6.98,2.15403E+20,201,201000,6.9,24.35,24350,246.25,246250,35.27,35270,198.18,0
NGC4157,18,8.72,2.69099E+20,201,201000,7.3,30.5,30500,251.02,251020,31.55,31550,108.77,0
NGC4157,18,10.47,3.23104E+20,194,194000,6.4,41.92,41920,230.73,230730,28.8,28800,29.25,0
NGC4157,18,12.19,3.76183E+20,190,190000,6,51.62,51620,208.57,208570,26.69,26690,13.48,0
NGC4157,18,13.94,4.30188E+20,186,186000,6.4,50.11,50110,192.8,192800,24.96,24960,7.5,0
NGC4157,18,15.68,4.83885E+20,184,184000,6.4,48.39,48390,179.28,179280,23.53,23530,4.2,0
NGC4157,18,17.42,5.37581E+20,182,182000,7.3,52.05,52050,169.24,169240,22.32,22320,2.43,0
NGC4157,18,19.16,5.91278E+20,181,181000,6.6,50.54,50540,160.07,160070,21.29,21290,0.66,0
NGC4157,18,20.9,6.44974E+20,183,183000,6.5,48.06,48060,151.49,151490,20.38,20380,0.54,0
NGC4157,18,22.65,6.98979E+20,185,185000,6.5,52.27,52270,145,145000,19.58,19580,0.28,0
NGC4157,18,24.39,7.52675E+20,186,186000,9.1,50.33,50330,138.91,138910,18.87,18870,0.07,0
NGC4157,18,26.13,8.06372E+20,186,186000,11.4,47.42,47420,133.62,133620,18.23,18230,0.04,0
NGC4157,18,27.87,8.60068E+20,184,184000,13.6,44.83,44830,128.95,128950,17.65,17650,0.02,0
NGC4157,18,29.61,9.13765E+20,185,185000,13.6,43,43000,124.77,124770,17.12,17120,0,0
NGC4183,18,0.87,2.68482E+19,47.1,47100,8.2,2.5,2500,39.16,39160,0,0,160.21,0
NGC4183,18,1.74,5.36964E+19,65.9,65900,6.6,5.78,5780,48.78,48780,0,0,95.41,0
NGC4183,18,2.61,8.05446E+19,76.1,76100,5.6,11.64,11640,56.83,56830,0,0,69.97,0
NGC4183,18,3.5,1.0801E+20,85.7,85700,5.6,13.9,13900,59.49,59490,0,0,54.44,0
NGC4183,18,4.37,1.34858E+20,96.6,96600,5.2,17.89,17890,65.42,65420,0,0,44.82,0
NGC4183,18,5.24,1.61706E+20,99.3,99300,5.2,23.49,23490,68.37,68370,0,0,36.54,0
NGC4183,18,6.11,1.88555E+20,103,103000,5.2,25.97,25970,71.96,71960,0,0,32.09,0
NGC4183,18,6.98,2.15403E+20,107,107000,5.2,27.48,27480,75.74,75740,0,0,24.66,0
NGC4183,18,7.85,2.42251E+20,111,111000,5.2,31.47,31470,78.27,78270,0,0,19.68,0
NGC4183,18,8.72,2.69099E+20,114,114000,6.1,35.45,35450,80.37,80370,0,0,13.34,0
NGC4183,18,9.6,2.96256E+20,115,115000,6.1,36.42,36420,78.73,78730,0,0,7.13,0
NGC4183,18,10.47,3.23104E+20,111,111000,5.6,37.82,37820,74.74,74740,0,0,3.83,0
NGC4183,18,11.35,3.50261E+20,110,110000,5.6,41.81,41810,70.87,70870,0,0,2.47,0
NGC4183,18,12.31,3.79887E+20,111,111000,5.2,40.2,40200,67.15,67150,0,0,1.7,0
NGC4183,18,13.12,4.04883E+20,109,109000,4.8,38.58,38580,64.51,64510,0,0,1.38,0
NGC4183,18,14.05,4.33583E+20,108,108000,4.4,38.15,38150,61.97,61970,0,0,1.09,0
NGC4183,18,14.98,4.62283E+20,109,109000,5.2,39.01,39010,59.84,59840,0,0,0.89,0
NGC4183,18,16.03,4.94686E+20,111,111000,5.3,38.26,38260,57.82,57820,0,0,0.71,0
NGC4183,18,16.95,5.23077E+20,110,110000,4.9,36.53,36530,56.23,56230,0,0,0.5,0
NGC4183,18,17.88,5.51777E+20,109,109000,4.9,37.39,37390,54.53,54530,0,0,0.34,0
NGC4183,18,18.93,5.8418E+20,110,110000,5.3,36.86,36860,52.76,52760,0,0,0.26,0
NGC4183,18,19.97,6.16274E+20,112,112000,10.2,35.67,35670,51.32,51320,0,0,0.18,0
NGC4183,18,21.02,6.48677E+20,113,113000,11.5,35.35,35350,49.87,49870,0,0,0,0
NGC4214,2.87,0.21,6.4806E+18,55.5,55500,7.21,5.41,5410,32.3,32300,0,0,541.3,0
NGC4214,2.87,0.63,1.94418E+19,63.2,63200,5.22,13.09,13090,52.43,52430,0,0,190.53,0
NGC4214,2.87,1.04,3.20944E+19,66.6,66600,7.97,16.91,16910,57.12,57120,0,0,90.51,0
NGC4214,2.87,1.46,4.50556E+19,70.5,70500,4.62,16.91,16910,56.92,56920,0,0,39.5,0
NGC4214,2.87,1.88,5.80168E+19,76.1,76100,4.69,16.7,16700,53.72,53720,0,0,15.63,0
NGC4214,2.87,2.3,7.0978E+19,78.8,78800,4.52,15.77,15770,48.94,48940,0,0,7.49,0
NGC4214,2.87,2.71,8.36306E+19,80.1,80100,6.65,14.85,14850,45.52,45520,0,0,3.28,0
NGC4214,2.87,3.14,9.69004E+19,80.1,80100,6.28,13.92,13920,42.09,42090,0,0,1.41,0
NGC4214,2.87,3.55,1.09553E+20,80.1,80100,5.09,13.09,13090,39.26,39260,0,0,0.63,0
NGC4214,2.87,3.96,1.22206E+20,80.4,80400,5.4,12.99,12990,36.87,36870,0,0,0.28,0
NGC4214,2.87,4.38,1.35167E+20,80.1,80100,7.58,12.99,12990,34.8,34800,0,0,0.13,0
NGC4214,2.87,4.8,1.48128E+20,80.4,80400,8.9,13.09,13090,33.03,33030,0,0,0.05,0
NGC4214,2.87,5.22,1.61089E+20,80.6,80600,9.37,13.09,13090,31.53,31530,0,0,0.02,0
NGC4214,2.87,5.63,1.73742E+20,80.6,80600,9.37,13.92,13920,30.23,30230,0,0,0,0
NGC4217,18,0.87,2.68482E+19,47.8,47800,8.2,3.06,3060,22.47,22470,153.43,153430,149.17,3961.96
